Date,Sales
2018-01-01,235
2018-02-01,244
2018-03-01,270
2018-04-01,285
2018-05-01,235
2018-06-01,213
2018-07-01,228
2018-08-01,197
2018-09-01,170
2018-10-01,200
2018-11-01,202
2018-12-01,230
2019-01-01,273
2019-02-01,252
2019-03-01,266
2019-04-01,286
2019-05-01,263
2019-06-01,268
2019-07-01,222
2019-08-01,197
2019-09-01,252
2019-10-01,228
2019-11-01,256
2019-12-01,255
2020-01-01,301
2020-02-01,336
2020-03-01,321
2020-04-01,348
2020-05-01,314
2020-06-01,299
2020-07-01,271
2020-08-01,306
2020-09-01,265
2020-10-01,255
2020-11-01,314
2020-12-01,302
2021-01-01,359
2021-02-01,338
2021-03-01,361
2021-04-01,388
2021-05-01,384
2021-06-01,352
2021-07-01,324
2021-08-01,306
2021-09-01,279
2021-10-01,305
2021-11-01,332
2021-12-01,391
2022-01-01,405
2022-02-01,385
2022-03-01,437
2022-04-01,420
2022-05-01,399
2022-06-01,404
2022-07-01,391
2022-08-01,374
2022-09-01,336
2022-10-01,357
2022-11-01,391
2022-12-01,433
2023-01-01,432
2023-02-01,460
2023-03-01,452
2023-04-01,447
2023-05-01,473
2023-06-01,462
2023-07-01,412
2023-08-01,419
2023-09-01,403
2023-10-01,393
2023-11-01,435
2023-12-01,487
2024-01-01,485
2024-02-01,538
2024-03-01,465
2024-04-01,531
2024-05-01,501
2024-06-01,472
2024-07-01,459
2024-08-01,402
2024-09-01,435
2024-10-01,457
2024-11-01,501
2024-12-01,490
